iter	Passed	Remaining
0	47	47357
1	48	24107
2	49	16357
3	50	12662
4	52	10350
5	54	8993
6	55	7892
7	57	7071
8	58	6408
9	59	5865
10	60	5434
11	65	5367
12	67	5105
13	68	4809
14	72	4765
15	74	4578
16	75	4384
17	77	4216
18	78	4045
19	79	3890
20	80	3764
21	81	3643
22	83	3534
23	84	3452
24	86	3360
25	87	3261
26	92	3320
27	93	3237
28	94	3158
29	99	3224
30	102	3195
31	105	3184
32	106	3111
33	108	3088
34	114	3167
35	116	3106
36	117	3065
37	120	3059
38	121	3003
39	123	2952
40	124	2900
41	125	2861
42	128	2849
43	129	2822
44	130	2779
45	131	2737
46	133	2715
47	136	2697
48	137	2677
49	139	2645
50	142	2652
51	143	2623
52	145	2594
53	146	2565
54	147	2540
55	148	2510
56	149	2481
57	151	2453
58	152	2433
59	153	2405
60	154	2382
61	155	2356
62	156	2333
63	157	2308
64	159	2288
65	160	2267
66	161	2247
67	161	2218
68	163	2199
69	164	2178
70	165	2166
71	166	2149
72	168	2134
73	169	2122
74	170	2104
75	171	2085
76	172	2067
77	173	2048
78	178	2085
79	180	2072
80	181	2055
81	182	2039
82	183	2024
83	185	2023
84	190	2050
85	194	2071
86	195	2053
87	197	2042
88	198	2027
89	199	2020
90	200	2007
91	202	1994
92	203	1984
93	204	1973
94	206	1969
95	209	1968
96	210	1962
97	211	1950
98	212	1937
99	214	1926
100	215	1918
101	218	1927
102	221	1928
103	226	1949
104	230	1963
105	234	1975
106	235	1964
107	236	1951
108	239	1953
109	241	1956
110	242	1944
111	243	1931
112	248	1951
113	249	1940
114	254	1961
115	255	1950
116	257	1941
117	258	1930
118	259	1918
119	260	1907
120	265	1926
121	267	1925
122	271	1934
123	273	1934
124	282	1975
125	283	1965
126	288	1984
127	290	1976
128	291	1964
129	292	1959
130	293	1948
131	295	1942
132	296	1933
133	297	1923
134	301	1932
135	302	1922
136	303	1912
137	304	1902
138	305	1894
139	307	1888
140	308	1880
141	309	1871
142	311	1864
143	312	1855
144	313	1846
145	314	1837
146	315	1830
147	316	1822
148	318	1821
149	319	1812
150	321	1805
151	322	1797
152	323	1789
153	324	1780
154	325	1771
155	326	1768
156	328	1761
157	329	1753
158	330	1749
159	331	1741
160	332	1735
161	334	1728
162	335	1725
163	337	1719
164	338	1711
165	340	1708
166	341	1703
167	342	1695
168	343	1690
169	345	1685
170	346	1680
171	348	1677
172	349	1670
173	350	1663
174	351	1658
175	352	1651
176	353	1645
177	354	1638
178	355	1631
179	357	1626
180	357	1618
181	358	1611
182	359	1605
183	360	1599
184	361	1593
185	362	1587
186	363	1581
187	364	1575
188	365	1570
189	367	1565
190	368	1561
191	369	1555
192	370	1550
193	371	1544
194	372	1539
195	373	1534
196	374	1528
197	375	1522
198	376	1517
199	378	1512
200	379	1507
201	380	1503
202	381	1497
203	382	1492
204	383	1487
205	384	1482
206	385	1478
207	387	1474
208	388	1469
209	389	1465
210	390	1460
211	391	1455
212	392	1451
213	393	1446
214	395	1442
215	396	1438
216	397	1433
217	398	1428
218	399	1424
219	400	1419
220	401	1415
221	402	1411
222	403	1407
223	405	1403
224	406	1401
225	407	1396
226	409	1393
227	410	1389
228	411	1384
229	412	1381
230	413	1377
231	414	1373
232	415	1369
233	417	1365
234	418	1362
235	419	1357
236	420	1353
237	421	1348
238	422	1344
239	423	1340
240	424	1336
241	425	1331
242	426	1327
243	428	1327
244	429	1323
245	431	1322
246	434	1325
247	435	1321
248	437	1318
249	438	1314
250	439	1310
251	440	1306
252	441	1302
253	442	1298
254	443	1295
255	444	1291
256	445	1288
257	446	1284
258	447	1281
259	448	1277
260	449	1273
261	450	1269
262	451	1265
263	452	1262
264	453	1258
265	454	1255
266	456	1251
267	457	1248
268	457	1244
269	458	1240
270	459	1237
271	460	1233
272	461	1229
273	462	1225
274	463	1222
275	464	1218
276	465	1215
277	466	1211
278	467	1208
279	468	1204
280	469	1201
281	470	1197
282	471	1194
283	472	1191
284	473	1187
285	474	1184
286	475	1180
287	476	1177
288	477	1173
289	478	1170
290	479	1167
291	480	1164
292	481	1160
293	482	1157
294	483	1155
295	484	1151
296	485	1148
297	486	1145
298	487	1142
299	488	1139
300	489	1136
301	490	1133
302	491	1129
303	492	1126
304	493	1123
305	493	1120
306	494	1117
307	496	1115
308	497	1111
309	499	1110
310	500	1107
311	501	1105
312	503	1104
313	504	1101
314	505	1099
315	507	1098
316	508	1095
317	509	1092
318	511	1091
319	512	1089
320	514	1088
321	517	1088
322	518	1085
323	519	1084
324	521	1082
325	522	1080
326	523	1077
327	524	1074
328	525	1071
329	537	1092
330	539	1089
331	541	1089
332	544	1090
333	547	1091
334	550	1091
335	552	1092
336	554	1090
337	555	1088
338	557	1086
339	558	1083
340	559	1080
341	560	1078
342	561	1075
343	562	1072
344	563	1070
345	564	1067
346	565	1064
347	566	1061
348	567	1058
349	568	1055
350	569	1053
351	570	1050
352	571	1047
353	574	1049
354	575	1046
355	577	1043
356	578	1041
357	579	1038
358	580	1035
359	581	1033
360	582	1030
361	583	1027
362	584	1025
363	585	1022
364	586	1020
365	587	1017
366	588	1015
367	589	1012
368	590	1009
369	591	1006
370	592	1004
371	593	1001
372	595	1000
373	596	997
374	597	995
375	600	996
376	601	994
377	603	992
378	604	989
379	604	987
380	605	984
381	607	983
382	609	981
383	610	978
384	611	976
385	612	973
386	613	971
387	622	981
388	624	980
389	625	978
390	626	975
391	627	973
392	628	971
393	633	973
394	634	971
395	635	968
396	636	966
397	637	964
398	638	961
399	639	959
400	640	957
401	641	954
402	642	952
403	644	950
404	645	948
405	646	946
406	647	943
407	648	941
408	649	938
409	650	936
410	651	934
411	653	932
412	654	929
413	655	927
414	656	925
415	661	929
416	662	926
417	663	924
418	665	922
419	666	919
420	667	918
421	668	915
422	669	913
423	670	911
424	672	909
425	673	907
426	674	905
427	676	903
428	677	901
429	678	898
430	679	896
431	680	894
432	681	892
433	682	890
434	683	887
435	684	885
436	686	884
437	687	881
438	688	879
439	689	877
440	690	875
441	692	873
442	692	871
443	694	869
444	695	866
445	696	864
446	697	862
447	698	860
448	699	858
449	700	856
450	701	854
451	702	851
452	703	849
453	710	854
454	711	852
455	712	850
456	714	848
457	715	846
458	717	845
459	718	843
460	723	845
461	726	845
462	727	843
463	728	841
464	737	849
465	740	848
466	744	850
467	745	847
468	746	845
469	751	847
470	752	845
471	753	843
472	754	840
473	758	841
474	761	841
475	762	839
476	764	838
477	765	836
478	768	836
479	769	833
480	772	833
481	773	830
482	774	828
483	778	830
484	779	828
485	780	825
486	785	827
487	786	825
488	788	823
489	789	821
490	790	819
491	791	817
492	792	814
493	793	812
494	797	813
495	800	813
496	801	811
497	802	808
498	803	806
499	804	804
500	805	801
501	806	799
502	808	798
503	809	796
504	810	794
505	811	791
506	813	790
507	814	788
508	815	786
509	817	785
510	818	783
511	820	782
512	823	781
513	824	779
514	825	777
515	827	776
516	828	774
517	830	773
518	831	770
519	832	768
520	835	767
521	835	765
522	838	764
523	840	763
524	841	761
525	842	759
526	844	758
527	845	755
528	847	754
529	848	752
530	849	750
531	855	752
532	856	750
533	857	748
534	858	745
535	859	743
536	860	741
537	861	739
538	862	737
539	863	735
540	864	733
541	865	731
542	866	729
543	867	727
544	868	725
545	869	722
546	870	720
547	871	718
548	872	716
549	873	714
550	874	712
551	877	712
552	878	710
553	880	709
554	881	707
555	882	705
556	883	703
557	887	703
558	888	701
559	890	699
560	891	697
561	891	695
562	893	693
563	894	691
564	895	689
565	896	687
566	897	685
567	898	683
568	899	681
569	900	679
570	901	677
571	902	675
572	903	673
573	904	671
574	905	669
575	906	667
576	907	665
577	908	663
578	909	661
579	919	665
580	920	663
581	921	661
582	923	660
583	924	658
584	925	656
585	930	657
586	931	655
587	932	653
588	933	651
589	934	649
590	941	651
591	942	649
592	942	647
593	945	645
594	946	644
595	948	642
596	948	640
597	952	640
598	953	638
599	954	636
600	959	636
601	962	636
602	963	634
603	964	632
604	965	630
605	970	631
606	971	629
607	974	628
608	978	628
609	979	626
610	980	624
611	981	622
612	982	620
613	983	618
614	984	616
615	986	614
616	987	612
617	988	611
618	989	609
619	990	607
620	991	605
621	992	603
622	994	601
623	995	599
624	996	597
625	997	596
626	998	594
627	999	592
628	1000	590
629	1002	588
630	1003	586
631	1004	584
632	1005	583
633	1006	581
634	1008	579
635	1009	577
636	1010	575
637	1011	574
638	1016	574
639	1017	572
640	1018	570
641	1019	568
642	1020	566
643	1022	564
644	1023	563
645	1024	561
646	1026	560
647	1028	558
648	1030	557
649	1031	555
650	1033	554
651	1035	552
652	1041	553
653	1043	551
654	1044	550
655	1045	548
656	1046	546
657	1047	544
658	1050	543
659	1051	541
660	1053	540
661	1056	539
662	1058	538
663	1060	536
664	1062	535
665	1062	533
666	1063	531
667	1064	529
668	1065	527
669	1066	525
670	1067	523
671	1068	521
672	1069	519
673	1070	517
674	1071	515
675	1072	513
676	1073	512
677	1074	510
678	1075	508
679	1076	506
680	1077	504
681	1078	502
682	1079	500
683	1079	498
684	1081	497
685	1081	495
686	1082	493
687	1083	491
688	1085	489
689	1086	487
690	1087	486
691	1088	484
692	1089	482
693	1090	480
694	1091	478
695	1092	477
696	1093	475
697	1094	473
698	1097	472
699	1099	471
700	1100	469
701	1103	468
702	1105	466
703	1106	465
704	1107	463
705	1108	461
706	1109	459
707	1110	457
708	1111	456
709	1112	454
710	1113	452
711	1114	450
712	1115	449
713	1116	447
714	1118	445
715	1119	443
716	1120	442
717	1121	440
718	1122	438
719	1125	437
720	1126	435
721	1127	434
722	1128	432
723	1132	431
724	1134	430
725	1139	429
726	1142	429
727	1146	428
728	1149	427
729	1151	426
730	1154	424
731	1157	423
732	1161	423
733	1165	422
734	1169	421
735	1171	420
736	1174	419
737	1177	417
738	1180	416
739	1183	415
740	1186	414
741	1189	413
742	1192	412
743	1195	411
744	1197	410
745	1200	408
746	1202	407
747	1205	406
748	1208	405
749	1211	403
750	1214	402
751	1217	401
752	1220	400
753	1223	399
754	1228	398
755	1230	397
756	1234	396
757	1239	395
758	1242	394
759	1245	393
760	1248	391
761	1250	390
762	1253	389
763	1256	388
764	1259	386
765	1261	385
766	1264	384
767	1267	382
768	1270	381
769	1273	380
770	1276	379
771	1278	377
772	1281	376
773	1284	374
774	1287	373
775	1291	372
776	1294	371
777	1298	370
778	1300	369
779	1303	367
780	1306	366
781	1308	364
782	1312	363
783	1315	362
784	1318	361
785	1321	359
786	1323	358
787	1326	356
788	1329	355
789	1332	354
790	1334	352
791	1336	350
792	1337	349
793	1338	347
794	1339	345
795	1340	343
796	1341	341
797	1343	339
798	1343	338
799	1344	336
800	1345	334
801	1346	332
802	1348	330
803	1349	328
804	1350	327
805	1351	325
806	1353	323
807	1354	321
808	1355	319
809	1356	318
810	1357	316
811	1358	314
812	1360	312
813	1361	311
814	1362	309
815	1363	307
816	1364	305
817	1365	303
818	1366	302
819	1367	300
820	1369	298
821	1370	296
822	1371	295
823	1373	293
824	1374	291
825	1375	289
826	1376	287
827	1377	286
828	1379	284
829	1380	282
830	1381	281
831	1383	279
832	1384	277
833	1385	275
834	1386	274
835	1387	272
836	1389	270
837	1390	268
838	1391	266
839	1392	265
840	1393	263
841	1394	261
842	1395	259
843	1396	258
844	1397	256
845	1398	254
846	1400	252
847	1401	251
848	1402	249
849	1403	247
850	1404	245
851	1405	244
852	1406	242
853	1407	240
854	1409	238
855	1410	237
856	1411	235
857	1412	233
858	1413	231
859	1413	230
860	1415	228
861	1416	226
862	1417	224
863	1418	223
864	1419	221
865	1420	219
866	1421	218
867	1422	216
868	1423	214
869	1424	212
870	1425	211
871	1426	209
872	1427	207
873	1428	206
874	1430	204
875	1431	202
876	1432	200
877	1433	199
878	1434	197
879	1435	195
880	1436	194
881	1437	192
882	1438	190
883	1439	188
884	1441	187
885	1442	185
886	1443	183
887	1444	182
888	1445	180
889	1446	178
890	1447	177
891	1448	175
892	1449	173
893	1450	172
894	1451	170
895	1452	168
896	1453	166
897	1454	165
898	1455	163
899	1456	161
900	1457	160
901	1459	158
902	1460	156
903	1462	155
904	1469	154
905	1470	152
906	1471	150
907	1472	149
908	1473	147
909	1474	145
910	1479	144
911	1483	143
912	1484	141
913	1485	139
914	1486	138
915	1488	136
916	1489	134
917	1490	133
918	1492	131
919	1493	129
920	1495	128
921	1496	126
922	1498	125
923	1499	123
924	1500	121
925	1502	120
926	1503	118
927	1504	116
