iter	RMSE
0	14.78219919
1	14.41767919
2	14.05087034
3	13.68649389
4	13.35131854
5	13.05194272
6	12.75731747
7	12.48490245
8	12.22478662
9	11.93067327
10	11.65080633
11	11.40879919
12	11.15928895
13	10.90335628
14	10.66928265
15	10.43017442
16	10.22202229
17	10.02852049
18	9.809572124
19	9.609218097
20	9.450829182
21	9.271655645
22	9.101356784
23	8.946510616
24	8.786369886
25	8.653867858
26	8.501719557
27	8.376651606
28	8.237937378
29	8.118708794
30	7.993949337
31	7.86610328
32	7.745241405
33	7.639131083
34	7.524465477
35	7.430891952
36	7.332459878
37	7.246252284
38	7.158403721
39	7.073977344
40	6.994984041
41	6.931742276
42	6.854688643
43	6.787013713
44	6.72469981
45	6.658949049
46	6.593563536
47	6.53126338
48	6.470017528
49	6.413734682
50	6.358459728
51	6.306502435
52	6.256249433
53	6.206652772
54	6.157089622
55	6.113563632
56	6.072021975
57	6.030821171
58	5.99154084
59	5.959891488
60	5.927601545
61	5.889023215
62	5.858094861
63	5.824174162
64	5.793893719
65	5.759870222
66	5.7281411
67	5.699037117
68	5.677899846
69	5.651074413
70	5.625902744
71	5.603105737
72	5.580103431
73	5.556762301
74	5.536630608
75	5.51513622
76	5.496525959
77	5.475231274
78	5.45667297
79	5.436536113
80	5.419835349
81	5.407980423
82	5.391811673
83	5.375914036
84	5.362051374
85	5.348589125
86	5.33309278
87	5.319596409
88	5.30840279
89	5.294857002
90	5.286324935
91	5.276488089
92	5.26818894
93	5.257714919
94	5.250751836
95	5.242110875
96	5.23263084
97	5.221167785
98	5.212905494
99	5.203983492
100	5.192649917
101	5.178588852
102	5.167850798
103	5.157416511
104	5.14712775
105	5.139073411
106	5.129302255
107	5.120065141
108	5.110854783
109	5.099132839
110	5.094607323
111	5.087155224
112	5.076909736
113	5.069525079
114	5.064215106
115	5.056905824
116	5.050495817
117	5.043691511
118	5.03754521
119	5.026163747
120	5.019313621
121	5.014382828
122	5.007062709
123	4.996710595
