iter	Passed	Remaining
0	250	250546
1	253	126343
2	255	84793
3	258	64323
4	260	51802
5	262	43424
6	263	37428
7	265	32923
8	267	29450
9	269	26716
10	271	24443
11	274	22568
12	276	20958
13	278	19590
14	279	18374
15	281	17304
16	282	16361
17	284	15535
18	288	14884
19	289	14208
20	291	13602
21	293	13046
22	295	12531
23	296	12064
24	297	11621
25	299	11219
26	300	10839
27	302	10493
28	303	10165
29	304	9858
30	305	9562
31	308	9322
32	309	9069
33	310	8820
34	311	8581
35	312	8356
36	312	8143
37	313	7943
38	314	7751
39	315	7570
40	316	7399
41	317	7233
42	317	7075
43	318	6925
44	319	6781
45	320	6646
46	321	6516
47	322	6394
48	323	6274
49	324	6159
50	325	6050
51	326	5945
52	326	5841
53	327	5741
54	328	5645
55	329	5553
56	330	5463
57	331	5377
58	331	5293
59	332	5212
60	335	5167
61	336	5094
62	337	5023
63	338	4950
64	339	4881
65	340	4813
66	342	4764
67	343	4701
68	343	4638
69	344	4576
70	345	4516
71	345	4458
72	346	4401
73	347	4345
74	347	4291
75	348	4238
76	349	4187
77	349	4137
78	350	4091
79	351	4043
80	352	3997
81	352	3949
82	353	3906
83	354	3863
84	355	3821
85	355	3780
86	356	3745
87	357	3706
88	358	3668
89	359	3631
90	359	3592
91	360	3556
92	361	3521
93	361	3486
94	362	3452
95	363	3418
96	363	3385
97	364	3353
98	365	3322
99	365	3291
100	366	3261
101	367	3231
102	367	3202
103	368	3173
104	369	3145
105	369	3119
106	370	3094
107	371	3068
108	372	3045
109	373	3020
110	373	2992
111	375	2978
112	376	2954
113	377	2930
114	377	2907
115	378	2884
116	379	2861
117	379	2838
118	380	2815
119	380	2793
120	381	2772
121	382	2751
122	382	2730
123	383	2710
124	384	2690
125	384	2670
126	385	2652
127	386	2635
128	387	2616
129	388	2598
130	389	2581
131	389	2564
132	390	2546
133	391	2531
134	392	2513
135	393	2496
136	393	2479
137	394	2463
138	395	2447
139	395	2431
140	396	2415
141	397	2399
142	397	2383
143	398	2368
144	399	2353
145	399	2338
146	400	2323
147	401	2309
148	403	2302
149	404	2289
150	404	2275
151	405	2262
152	406	2249
153	407	2236
154	407	2222
155	408	2209
156	409	2196
157	409	2184
158	410	2171
159	411	2159
160	411	2146
161	412	2134
162	413	2123
163	414	2111
164	414	2099
165	415	2087
166	416	2076
167	417	2065
168	418	2055
169	419	2046
170	419	2035
171	420	2025
172	421	2014
173	422	2005
174	423	1994
175	423	1984
176	424	1973
177	425	1963
178	425	1953
179	426	1943
180	427	1933
181	428	1924
182	428	1914
183	429	1905
184	430	1896
185	431	1887
186	432	1878
187	432	1869
188	433	1861
189	434	1852
190	435	1843
191	435	1834
192	436	1825
193	437	1816
194	437	1807
195	438	1799
196	439	1790
197	439	1782
198	441	1777
199	442	1769
200	443	1761
201	443	1752
202	444	1744
203	446	1742
204	447	1735
205	448	1728
